Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,995.867004,1004.599976,994.666992,1001.969971,919.488647,674298
2015-01-02,1001,1026,1001,1023.099976,938.87915,1936584
2015-01-05,1030.22998,1047.329956,1030.22998,1037.329956,951.937744,2176527
2015-01-06,1027.329956,1029.829956,997.367004,1002.72998,920.185974,3048026
2015-01-07,999.166992,1006.669983,990.367004,1000.330017,917.983643,2063636
2015-01-08,1013,1015.669983,1002.77002,1006.700012,923.829285,1455954
2015-01-09,1014.669983,1016,992,1000.169983,917.836792,1735730
2015-01-12,1002.599976,1024.670044,996.732971,1022.799988,938.603943,1535320
2015-01-13,1029.969971,1031.430054,1010.799988,1013,929.610596,1318348
2015-01-14,1015,1022.72998,1000,1012,928.692932,1476891
2015-01-15,1030,1057.469971,1023.669983,1049.130005,962.766357,3419091
2015-01-16,1055,1074.670044,1040,1061.170044,973.815247,4195028
2015-01-19,1068.670044,1082,1067.930054,1076.569946,987.947632,2087948
2015-01-20,1081.27002,1089.329956,1067.329956,1086.369995,996.940857,2088778
2015-01-21,1089.199951,1112.130005,1087.170044,1103.030029,1012.229492,3705237
2015-01-22,1104,1112.670044,1102.22998,1108.869995,1017.588684,1811174
2015-01-23,1116.670044,1143.969971,1116.670044,1140.869995,1046.954468,4374212
2015-01-27,1146.670044,1166.670044,1145.329956,1161.329956,1065.730225,3390609
2015-01-28,1156.800049,1160.329956,1123.329956,1132.22998,1039.025513,3463524
2015-01-29,1128.22998,1155.800049,1125.5,1149.27002,1054.662964,3460012
2015-01-30,1152.400024,1160.530029,1122.22998,1133.699951,1040.374756,2282494
2015-02-02,1130.670044,1159.900024,1130.670044,1156.72998,1061.508911,2125707
2015-02-03,1161.329956,1166.599976,1138.22998,1148.329956,1053.800293,2930722
2015-02-04,1153.030029,1154.800049,1121.599976,1125.599976,1032.941406,1846012
2015-02-05,1127.300049,1137.329956,1116.069946,1121.599976,1029.270752,2015948
2015-02-06,1121.329956,1129.329956,1108.670044,1122.369995,1029.977417,2210620
2015-02-09,1108.869995,1112.670044,1033.329956,1048.300049,962.004822,5339823
2015-02-10,1030.069946,1074,1021.429993,1047.800049,961.545959,10472048
2015-02-11,1058,1082.469971,1055.800049,1075.130005,986.626221,4675647
2015-02-12,1078.670044,1106,1070.130005,1100.030029,1009.47644,3162284
2015-02-13,1106.670044,1116,1100,1108.099976,1016.881958,2363568
2015-02-16,1110,1118.670044,1093.400024,1098.969971,1008.503662,1676532
2015-02-18,1103.199951,1116.599976,1102.670044,1108.900024,1017.616272,2187792
2015-02-19,1112.530029,1140,1108.27002,1132.369995,1039.154297,2808872
2015-02-20,1133.329956,1143.199951,1114.329956,1118.400024,1026.334229,5372566
2015-02-23,1124.300049,1141.27002,1119.569946,1124.670044,1032.088135,3558914
2015-02-24,1127.630005,1149.670044,1126.699951,1147.400024,1052.946899,3186507
2015-02-25,1150,1156.530029,1124,1131.930054,1038.750488,2760176
2015-02-26,1132.670044,1133.829956,1113.329956,1118.699951,1026.609497,2867676
2015-02-27,1135.199951,1176.670044,1133.329956,1172.630005,1076.099976,6404554
2015-02-28,1135.199951,1176.670044,1133.329956,1172.630005,1076.099976,6404554
2015-03-02,1188,1233.329956,1188,1230.72998,1129.417358,7276994
2015-03-03,1233.329956,1239.329956,1218.72998,1234.430054,1132.812744,3566704
2015-03-04,1246.670044,1262.530029,1211.329956,1225.27002,1124.40686,4956996
2015-03-05,1228.170044,1230.969971,1196.670044,1217.369995,1117.157104,2831550
2015-03-09,1211.469971,1214.400024,1170,1174.869995,1078.155518,2366516
2015-03-10,1179.329956,1193.069946,1149.369995,1168.300049,1072.126465,2668430
2015-03-11,1176.569946,1177,1154.800049,1159.800049,1064.326294,2817524
2015-03-12,1166.670044,1176.670044,1160.099976,1164.930054,1069.034058,2488366
2015-03-13,1177.530029,1179.569946,1122.130005,1128.099976,1035.235596,3480124
2015-03-16,1132,1139.930054,1114.199951,1119.869995,1027.683228,1994878
2015-03-17,1130.670044,1148.670044,1122.130005,1143.77002,1049.615723,2178092
2015-03-18,1150.030029,1151.670044,1128.469971,1132.699951,1039.456909,1931079
2015-03-19,1147.369995,1159.300049,1113.329956,1121.599976,1029.270752,3146062
2015-03-20,1122.130005,1131.630005,1102.030029,1113.569946,1021.901672,2528511
2015-03-23,1121.530029,1126.670044,1108.670044,1115.22998,1023.425049,1682382
2015-03-24,1115.699951,1125.869995,1104,1114.77002,1023.002991,2093748
2015-03-25,1115.329956,1117.900024,1084.22998,1088.5,998.895508,2524262
2015-03-26,1081.329956,1110,1075.630005,1089.630005,999.932495,5232288
2015-03-27,1100.069946,1123.72998,1094.670044,1118.5,1026.425903,4774842
2015-03-30,1126.670044,1156,1122.329956,1152.5,1057.627075,3359008
2015-03-31,1156.699951,1164.670044,1140.829956,1146.430054,1052.056763,2813583
2015-04-01,1147.77002,1159.400024,1145.329956,1156.170044,1060.994995,1500330
2015-04-06,1157.699951,1176.199951,1148.130005,1171.930054,1075.457642,2732079
2015-04-07,1180.170044,1188.469971,1165.5,1179.800049,1082.679932,2142483
2015-04-08,1183.27002,1191.5,1174.130005,1186.300049,1088.644653,2066943
2015-04-09,1190,1192,1170.400024,1180.530029,1083.349854,1702880
2015-04-10,1180,1185.329956,1166.670044,1176,1079.192627,1415592
2015-04-13,1186.829956,1204.670044,1180.829956,1202.329956,1103.355103,2358314
2015-04-15,1202.670044,1213.300049,1178.599976,1191.77002,1093.664429,2280494
2015-04-16,1192,1192,1160,1169.530029,1073.255249,2251882
2015-04-17,1173.400024,1177.599976,1153.400024,1159.829956,1064.353638,1497998
2015-04-20,1161.27002,1161.27002,1112.670044,1132.300049,1039.089844,2375331
2015-04-21,1132,1146.930054,1120,1125.829956,1033.152344,2067291
2015-04-22,1129.869995,1168,1123.829956,1163.72998,1067.932617,2776149
2015-04-23,1170,1174.930054,1142.030029,1149.400024,1054.782349,2547232
2015-04-24,1148,1150.530029,1113.329956,1119.069946,1026.949097,2187252
2015-04-27,1119.969971,1130.569946,1105,1111.800049,1020.277588,2775021
2015-04-28,1123,1123,1090.670044,1110.300049,1018.900879,3310886
2015-04-29,1107.72998,1114.829956,1097.329956,1103.5,1012.660706,2125136
2015-04-30,1103.869995,1104.469971,1083.72998,1087.530029,998.005371,3737528
2015-05-04,1093.829956,1100.300049,1078.72998,1086.199951,996.784851,2455548
2015-05-05,1090,1110,1084.5,1094.930054,1004.796326,2135422
2015-05-06,1095,1095.930054,1038.800049,1043.099976,957.232727,4843736
2015-05-07,1040,1056.670044,1029.069946,1045.930054,959.829773,3978020
2015-05-08,1059.329956,1076.670044,1054.369995,1067.5,979.624268,3842286
2015-05-11,1074.199951,1088,1071.829956,1076.869995,988.2229,3087800
2015-05-12,1076.599976,1076.599976,1036.670044,1039.599976,954.020874,3287786
2015-05-13,1046.699951,1063.329956,1040.530029,1059.800049,972.558105,2439560
2015-05-14,1057.430054,1061.27002,1046.930054,1051.22998,964.693481,1777146
2015-05-15,1057.900024,1068,1050.329956,1061.300049,973.934509,2762061
2015-05-18,1064.930054,1077.530029,1059.329956,1074.900024,986.415039,1792155
2015-05-19,1076.630005,1090,1072.670044,1080.469971,991.526489,2281797
2015-05-20,1085.300049,1090.300049,1072,1075.030029,986.534302,1442643
2015-05-21,1080,1094,1072.900024,1092.199951,1002.290833,2451279
2015-05-22,1093.329956,1108,1088.530029,1102.300049,1011.55957,2647665
2015-05-25,1099.869995,1099.869995,1083.329956,1086.829956,997.362854,1397434
2015-05-26,1091.130005,1091.130005,1072.329956,1078.930054,990.113281,2059530
2015-05-27,1080,1097.27002,1072.829956,1090.27002,1000.519836,1575588
2015-05-28,1091.400024,1093.900024,1070,1084.5,995.224792,2633246
2015-05-29,1087,1113.170044,1083.800049,1102.969971,1012.174255,4191568
2015-06-01,1116,1139.329956,1095.329956,1137.030029,1043.43042,5386808
2015-06-02,1140.670044,1145.199951,1111.329956,1115.699951,1023.856445,4373604
2015-06-03,1116.670044,1125.030029,1096,1102.430054,1011.678833,3209997
2015-06-04,1105.329956,1120,1097.030029,1108.300049,1017.065613,1967170
2015-06-05,1106.670044,1136,1105.829956,1122.400024,1030.004761,2404830
2015-06-08,1122.469971,1137.329956,1114.069946,1119.170044,1027.040771,2129532
2015-06-09,1117.300049,1123.869995,1104,1111.27002,1019.791138,1416730
2015-06-10,1114,1145.27002,1113.329956,1137.369995,1043.742432,2389308
2015-06-11,1143.27002,1149.630005,1113.5,1117.430054,1025.444092,2981295
2015-06-12,1116.400024,1122.130005,1100,1104.969971,1014.009827,1835109
2015-06-15,1110.130005,1129.599976,1101.329956,1112.27002,1020.708862,1700772
2015-06-16,1113.329956,1123.329956,1103.900024,1118.27002,1026.214966,2043630
2015-06-17,1124,1148.329956,1117.329956,1140.569946,1046.679199,3984108
2015-06-18,1143.329956,1153,1139.170044,1144.77002,1050.533447,2842160
2015-06-19,1150,1161.400024,1138.170044,1144.069946,1049.890869,2126232
2015-06-22,1150,1159.329956,1144.369995,1155,1059.921265,1613481
2015-06-23,1160.670044,1181.329956,1158.329956,1177.699951,1080.752563,2350728
2015-06-24,1178.670044,1183.130005,1163.329956,1168.829956,1072.612793,1816593
2015-06-25,1160.069946,1211.329956,1160.069946,1206.5,1107.181763,4201746
2015-06-26,1202.400024,1202.670044,1183.329956,1187.130005,1089.406372,1818054
2015-06-29,1164.670044,1196.670044,1146,1193.699951,1095.435669,3110302
2015-06-30,1190.400024,1205.930054,1178.670044,1188.530029,1090.691162,3076677
2015-07-01,1188.630005,1212.670044,1188.630005,1207.800049,1108.374878,2471292
2015-07-02,1208,1212,1194.670044,1200.22998,1101.428101,1335758
2015-07-03,1200,1216.670044,1195,1204.869995,1105.686157,1830951
2015-07-06,1183.369995,1214.329956,1183.329956,1210.699951,1111.036011,2029512
2015-07-07,1211.300049,1216,1196.800049,1207.569946,1108.163818,1728982
2015-07-08,1193.329956,1209.800049,1180,1204.300049,1105.162964,2385891
2015-07-09,1210.170044,1234,1210.170044,1232.599976,1131.133301,2888308
2015-07-10,1233.329956,1253.329956,1233.030029,1250.930054,1147.954346,2696910
2015-07-13,1250.930054,1253.329956,1229.329956,1238.469971,1136.52002,2160398
2015-07-14,1239.800049,1247.969971,1234.069946,1238.369995,1136.428345,1669578
2015-07-15,1243.329956,1253.329956,1241.630005,1246.27002,1143.677979,1757511
2015-07-16,1246.670044,1251.329956,1238,1245.369995,1142.852051,2124406
2015-07-17,1247.27002,1258.670044,1242.699951,1247.72998,1145.017822,2513529
2015-07-20,1248.670044,1253.27002,1233.329956,1244.869995,1142.393188,1654725
2015-07-21,1246.599976,1255.329956,1225.400024,1229.969971,1128.719849,1305582
2015-07-22,1229.069946,1245.329956,1220.699951,1236.300049,1134.528809,1643224
2015-07-23,1240,1243.030029,1215.329956,1220.699951,1120.212769,2011395
2015-07-24,1223.329956,1224.630005,1198.030029,1201.569946,1102.657593,1986279
2015-07-27,1198.069946,1198.670044,1158.569946,1162.22998,1066.556274,3556780
2015-07-28,1166.670044,1181.329956,1162.430054,1172.630005,1076.099976,1856446
2015-07-29,1177.869995,1198.969971,1166.699951,1193.530029,1095.279541,1687712
2015-07-30,1203.329956,1206.670044,1178.969971,1182.5,1085.157471,2621204
2015-07-31,1189.670044,1210.569946,1177.329956,1194.170044,1095.866821,2882673
2015-08-03,1140.030029,1189.329956,1136.030029,1186.27002,1088.617188,4953312
2015-08-04,1186.670044,1196.530029,1172.670044,1183.170044,1085.772583,2105218
2015-08-05,1183.170044,1194.599976,1179.400024,1186.400024,1088.73645,1552152
2015-08-06,1184.72998,1224.530029,1183.329956,1220.5,1120.029297,2809791
2015-08-07,1220,1229.329956,1210.72998,1222.300049,1121.681274,2368350
2015-08-10,1221.030029,1229.469971,1204.069946,1213.829956,1113.908203,2166975
2015-08-11,1214.800049,1216.599976,1188,1200.77002,1101.923462,1658853
2015-08-12,1195.030029,1195.130005,1168,1175,1078.274902,2478813
2015-08-13,1175,1195.969971,1165.329956,1173.430054,1076.834229,3626170
2015-08-14,1185.829956,1203.170044,1166.699951,1199.670044,1100.914185,1955958
2015-08-17,1195.27002,1200,1177.030029,1186.900024,1089.195313,1508726
2015-08-18,1195.469971,1209.969971,1188.72998,1200.099976,1101.308838,2073873
2015-08-19,1199.930054,1213.329956,1190.670044,1209.800049,1110.210327,1626092
2015-08-20,1196.670044,1212.670044,1176,1187.900024,1090.113037,2032938
2015-08-21,1170,1170,1150,1160,1064.509766,3087904
2015-08-24,1132,1132,1070,1087.699951,998.161316,4809892
2015-08-25,1099.969971,1110.329956,1050,1083.099976,993.940002,5436566
2015-08-26,1085.27002,1095,1056.400024,1061.469971,974.090515,3418868
2015-08-27,1086.670044,1092,1060.069946,1080.030029,991.122803,6486766
2015-08-28,1093.27002,1103.329956,1070.130005,1077.630005,988.920227,3557331
2015-08-31,1078,1086.670044,1066,1068.599976,995.647339,2546174
2015-09-01,1053.329956,1058,1025.670044,1038.599976,982.638367,4791088
2015-09-02,1056,1056,1013.299988,1018.429993,963.555176,4657150
2015-09-03,1028.199951,1048,1025.069946,1045.869995,989.516602,3510200
2015-09-04,1039.27002,1043.130005,1013.330017,1022.570007,967.471985,3262708
2015-09-07,1026.369995,1034,1002.669983,1006.330017,952.107056,1831632
2015-09-08,1010,1046,993.333008,1043,986.801208,2772254
2015-09-09,1057,1065,1040,1061.670044,1004.465271,3469864
2015-09-10,1047.599976,1083.329956,1036.969971,1076.900024,1018.874573,2940453
2015-09-11,1083.329956,1086.400024,1061.699951,1068.630005,1011.050171,2370705
2015-09-14,1071.099976,1079.329956,1058.670044,1070.630005,1012.942444,1564112
2015-09-15,1070.670044,1076.27002,1033.329956,1038.77002,982.799133,4171896
2015-09-16,1048,1048.400024,1023.469971,1032.469971,976.838501,3774322
2015-09-18,1040.670044,1056,1023.369995,1027.069946,971.729492,3023722
2015-09-21,1020,1038.22998,1018.330017,1033.5,977.81311,2421045
2015-09-22,1040.199951,1041.27002,986.833008,989.96698,936.625732,4925386
2015-09-23,982,1002.669983,964.833008,996.867004,943.153931,4148463
2015-09-24,991.599976,991.599976,973.333008,974.96698,922.433899,3337754
2015-09-28,976,979.367004,950.400024,953.367004,901.997803,3741878
2015-09-29,946.666992,976.666992,941.567017,964.166992,912.215881,4576866
2015-09-30,976.53302,979.333008,964.267029,977.5,924.830444,3287628
2015-10-01,988.666992,996.432983,974.732971,993.400024,939.873779,2706872
2015-10-05,1002.72998,1036,1002.72998,1033.77002,978.068604,3955770
2015-10-06,1042.469971,1042.469971,1026.329956,1036.569946,980.71759,3646412
2015-10-07,1033.329956,1037.27002,1026.670044,1029.829956,974.340759,1399029
2015-10-08,1028.670044,1032.599976,1013.630005,1022.469971,967.377319,1634403
2015-10-09,1031.530029,1043.300049,1025.329956,1030.930054,975.381592,2046471
2015-10-12,1036.670044,1044.170044,1033,1036,980.178345,1188326
2015-10-13,1040,1044.469971,1021.669983,1030.530029,975.003113,1813896
2015-10-14,1025.930054,1035.930054,1023.369995,1026.900024,971.568726,1693611
2015-10-15,1033.430054,1042.329956,1030.069946,1040.329956,984.275024,1884302
2015-10-16,1043.670044,1072.599976,1035.030029,1069.969971,1012.317993,2580712
2015-10-19,1071.930054,1073.329956,1050.199951,1053.869995,997.085449,1893249
2015-10-20,1057.130005,1064.530029,1045.400024,1049.030029,992.506287,2194296
2015-10-21,1050.630005,1051.699951,1030.699951,1033.630005,977.936096,2086108
2015-10-23,1041.369995,1046.569946,1004.169983,1006.869995,952.617981,4297068
2015-10-26,1013.369995,1020,1002.669983,1005.630005,951.444824,2636010
2015-10-27,1003.400024,1015.330017,993.400024,996.5,942.806702,3801230
2015-10-28,993.267029,999.333008,988.666992,995.166992,941.545532,2522211
2015-10-29,996.666992,997.299988,977.732971,980.5,927.668823,2901602
2015-10-30,982,998.46698,933.333008,940.5,889.824036,11414433
2015-11-02,933.333008,936,916.166992,925.767029,875.88501,7422958
2015-11-03,931.267029,931.267029,911.732971,915.53302,866.202393,5215916
2015-11-04,925.333008,925.333008,910,912.067017,862.923218,3886504
2015-11-05,913.333008,919.700012,909.333008,912.632996,863.458618,3723428
2015-11-06,915.333008,924.333008,914.732971,918.166992,868.694397,2817822
2015-11-09,900,909.333008,887.400024,906.03302,857.214294,3894880
2015-11-10,903.367004,911.666992,895.333008,898.932983,850.496765,3552916
2015-11-13,906,906,886.666992,887.46698,839.64856,2728916
2015-11-16,886.333008,908.53302,884,904.767029,856.016479,3453009
2015-11-17,912.333008,915,896.666992,901.166992,852.610413,2795228
