Date,Open,High,Low,Close,Adj Close,Volume,USD
2015-01-01,492.237,495.5,489.225006,493.600006,381.943909,2002764,63.355
2015-01-02,493.0,504.763,493.0,503.299988,389.449677,6778320,63.285
2015-01-05,502.475006,507.5,494.375,498.975006,386.103027,9937024,63.345
2015-01-06,495.0,496.25,483.524994,488.549988,378.036255,9667316,63.575
2015-01-07,491.25,493.687988,487.5,490.888,379.845367,7249916,63.28
2015-01-08,496.399994,499.25,487.5,493.362,381.759705,13564920,62.675
2015-01-09,495.024994,527.25,478.263,518.612,401.297943,44863328,62.355
2015-01-12,523.0,529.799988,518.75,528.987,409.32608,12758888,62.075
2015-01-13,526.950012,526.950012,518.75,522.224976,404.093719,8801236,61.98
2015-01-14,524.625,533.25,523.150024,532.161987,411.782837,9921260,62.095
2015-01-15,533.799988,538.200012,528.062012,533.562012,412.866211,8342452,62.065
2015-01-16,537.0,540.0,528.0,529.575012,409.781067,6690960,61.87
2015-01-19,530.0,533.088013,523.650024,525.625,406.724579,4087744,61.645
2015-01-20,526.75,533.25,525.362,531.049988,410.922363,6804504,61.655
2015-01-21,532.875,543.987,529.5,542.474976,419.762939,8494908,61.56
2015-01-22,543.700012,550.75,540.325012,549.112,424.89859,9958396,61.605
2015-01-23,550.0,556.25,541.275024,553.763,428.497559,9486328,61.44
2015-01-27,555.25,555.25,532.525024,534.125,413.301849,13739968,61.41
2015-01-28,537.5,538.700012,532.575012,536.138,414.859467,13134356,61.358
2015-01-29,536.25,537.474976,531.900024,536.375,415.042816,15369424,61.801
2015-01-30,540.375,540.638,531.737,535.474976,414.346436,10833744,62.02
2015-02-02,535.375,538.0,531.513,534.213013,413.369934,8702540,61.719
2015-02-03,534.213013,534.987,525.5,530.224976,410.283997,5265956,61.596
2015-02-04,534.974976,537.5,531.599976,535.713013,414.530609,5160016,61.842
2015-02-05,537.700012,555.0,537.0,548.450012,424.386444,11875936,61.709
2015-02-06,551.25,561.950012,547.125,557.625,431.485931,7453728,61.97
2015-02-09,550.0,563.5,550.0,562.224976,435.045349,6536868,62.149
2015-02-10,560.75,574.5,560.25,569.575012,440.732758,8516920,62.327
2015-02-11,570.125,573.299988,564.062012,571.213013,442.000183,5796972,62.382
2015-02-12,570.75,580.487,568.25,577.799988,447.097137,6287536,62.15
2015-02-13,574.900024,581.674988,571.5,574.025024,444.176117,5657516,62.076
2015-02-16,570.075012,576.724976,566.312012,569.687988,440.82016,6244276,62.105
2015-02-18,572.638,576.237,564.536987,574.125,444.25351,8613764,62.057
2015-02-19,573.5,583.5,573.013,581.174988,449.70874,9673624,62.138
2015-02-20,582.125,584.0,569.224976,570.775024,441.661285,6971628,62.109
2015-02-23,575.0,577.299988,562.025024,566.400024,438.276001,5090488,62.163
2015-02-24,569.75,573.987,564.400024,568.200012,439.668762,6437676,62.17
2015-02-25,572.224976,583.700012,570.0,579.400024,448.335266,6044972,61.862
2015-02-26,576.875,577.25,561.349976,564.525024,436.825134,6445776,61.731
2015-02-27,568.724976,570.161987,562.875,566.437988,438.305389,7801076,61.659
2015-02-28,568.724976,570.161987,562.875,566.437988,438.305389,7801076,
2015-03-02,575.75,577.125,569.513,572.924988,443.325012,7040992,61.862
2015-03-03,572.5,575.737,569.575012,574.463013,444.515045,4905552,61.819
2015-03-04,575.0,578.474976,562.974976,568.661987,440.026276,4375228,62.309
2015-03-05,566.763,574.687988,558.338013,561.900024,434.793915,5684916,62.381
2015-03-09,564.75,564.75,544.75,547.513,423.661407,7984720,62.634
2015-03-10,549.525024,551.737,540.049988,549.5,425.198883,6329916,62.72
2015-03-11,548.525024,560.0,542.275024,545.549988,422.142426,6780912,62.781
2015-03-12,544.75,556.612,544.25,554.575012,429.125885,5688564,62.542
2015-03-13,556.25,557.5,548.099976,555.099976,429.532074,6179684,63.083
2015-03-16,552.638,570.5,552.638,566.661987,438.478699,6818632,62.78
2015-03-17,566.661987,569.875,554.312012,560.125,433.420441,5539312,62.623
2015-03-18,563.625,565.713013,555.638,557.375,431.29248,4905564,62.701
2015-03-19,558.650024,562.25,555.687988,557.612,431.475861,6891740,62.49
2015-03-20,560.25,567.224976,558.237,564.362,436.698975,6430896,62.41
2015-03-23,563.25,568.75,556.375,558.362,432.056213,5078700,62.23
2015-03-24,558.724976,563.349976,551.5,552.862,427.800385,6736532,62.348
2015-03-25,555.724976,557.286987,550.187988,554.775024,429.28064,6170968,62.412
2015-03-26,552.0,553.724976,533.0,536.588013,415.207703,15740840,62.836
2015-03-27,541.0,556.174988,540.75,550.536987,426.001251,10074220,62.523
2015-03-30,551.400024,560.0,548.724976,557.0,431.002258,4623088,62.51
2015-03-31,561.25,568.411987,551.088013,554.588013,429.135956,8016412,62.291
2015-04-01,549.724976,549.875,539.424988,543.487,420.546021,6738488,62.142
2015-04-06,544.75,546.174988,540.099976,544.549988,421.368591,7741752,62.207
2015-04-07,543.75,545.700012,534.5,539.875,417.751129,8542268,62.296
2015-04-08,545.625,551.224976,543.263,550.138,425.692505,10185576,62.192
2015-04-09,552.849976,554.724976,546.099976,553.75,428.487549,10581548,62.306
2015-04-10,552.549988,559.5,552.549988,558.487,432.152954,7123776,62.276
2015-04-13,559.5,561.0,554.025024,559.700012,433.091583,4872336,62.407
2015-04-15,559.125,561.25,548.763,553.424988,428.235962,6237784,62.36
2015-04-16,555.5,557.75,540.125,548.661987,424.550446,9007812,62.317
2015-04-17,545.013,548.737,538.362,544.812012,421.57135,6450316,62.55
2015-04-20,544.0,545.0,528.786987,533.036987,412.45993,12825384,63.137
2015-04-21,537.0,538.775024,530.025024,535.650024,414.481842,8881648,62.854
2015-04-22,537.763,538.75,524.487,534.424988,413.533966,12350984,62.98
2015-04-23,537.174988,537.5,528.0,530.5,410.496826,11891800,63.277
