Date,Close,Volume,TB_para,TB_sent,USD_INR,Nifty
2015-01-01,493.600006,2002764,0.0,0.0,63.355,
2015-01-02,503.299988,6778320,0.0,0.0,63.285,8395.450195
2015-01-05,498.975006,9937024,0.5,0.166666666667,63.345,8378.400391
2015-01-06,488.549988,9667316,0.0,0.0,63.575,8127.350098
2015-01-07,490.888,7249916,0.0,0.0,63.28,8102.100098
2015-01-08,493.362,13564920,-0.0166666666667,-0.01,62.675,8234.599609
2015-01-09,518.612,44863328,0.5,0.111111111111,62.355,8284.5
2015-01-12,528.987,12758888,0.5,0.25,62.075,8323.0
2015-01-13,522.224976,8801236,0.0,0.0,61.98,8299.400391
2015-01-14,532.161987,9921260,0.0,0.0,62.095,8277.549805
2015-01-15,533.562012,8342452,0.0,0.0,62.065,8494.150391
2015-01-16,529.575012,6690960,0.0,0.0,61.87,8513.799805
2015-01-19,525.625,4087744,0.0,0.0,61.645,8550.700195
2015-01-20,531.049988,6804504,0.0,0.0,61.655,8695.599609
2015-01-21,542.474976,8494908,0.0,0.0,61.56,8729.5
2015-01-22,549.112,9958396,0.0,0.0,61.605,8761.400391
2015-01-23,553.763,9486328,0.0,0.0,61.44,8835.599609
2015-01-27,534.125,13739968,0.0,0.0,61.41,8910.5
2015-01-28,536.138,13134356,0.5,0.166666666667,61.358,8914.299805
2015-01-29,536.375,15369424,0.0,0.0,61.801,8952.349609
2015-01-30,535.474976,10833744,0.0,0.0,62.02,8808.900391
2015-02-02,534.213013,8702540,0.0,0.0,61.719,8797.400391
2015-02-03,530.224976,5265956,0.0,0.0,61.596,8756.549805
2015-02-04,535.713013,5160016,0.0,0.0,61.842,8723.700195
2015-02-05,548.450012,11875936,0.5,0.1,61.709,8711.700195
2015-02-06,557.625,7453728,0.0,0.0,61.97,8661.049805
2015-02-09,562.224976,6536868,0.0,0.0,62.149,8526.349609
2015-02-10,569.575012,8516920,0.0,0.0,62.327,8565.549805
2015-02-11,571.213013,5796972,0.0,0.0,62.382,8627.400391
2015-02-12,577.799988,6287536,0.0,0.0,62.15,8711.549805
2015-02-13,574.025024,5657516,0.4,0.133333333333,62.076,8805.5
2015-02-16,569.687988,6244276,0.1,0.05,62.105,8809.349609
2015-02-18,574.125,8613764,0.0,0.0,62.057,8869.099609
2015-02-19,581.174988,9673624,0.0,0.0,62.138,8895.299805
2015-02-20,570.775024,6971628,0.0,0.0,62.109,8833.599609
2015-02-23,566.400024,5090488,0.0,0.0,62.163,8754.950195
2015-02-24,568.200012,6437676,0.0,0.0,62.17,8762.099609
2015-02-25,579.400024,6044972,-0.0166666666667,-0.00625,61.862,8767.25
2015-02-26,564.525024,6445776,0.25,0.0833333333333,61.731,8683.849609
2015-02-27,566.437988,7801076,0.0,0.0,61.659,8844.599609
2015-03-02,572.924988,7040992,0.0,0.0,61.862,8956.75
2015-03-03,574.463013,4905552,0.0,0.0,61.819,8996.25
2015-03-04,568.661987,4375228,0.0,0.0,62.309,8922.650391
2015-03-05,561.900024,5684916,0.0,0.0,62.381,8937.75
2015-03-09,547.513,7984720,0.0,0.0,62.634,8756.75
2015-03-10,549.5,6329916,0.0,0.0,62.72,8712.049805
2015-03-11,545.549988,6780912,0.0,0.0,62.781,8699.950195
2015-03-12,554.575012,5688564,0.0,0.0,62.542,8776.0
2015-03-13,555.099976,6179684,0.0,0.0,63.083,8647.75
2015-03-16,566.661987,6818632,0.482142857143,0.160714285714,62.78,8633.150391
2015-03-17,560.125,5539312,0.0,0.0,62.623,8723.299805
2015-03-18,557.375,4905564,0.0,0.0,62.701,8685.900391
2015-03-19,557.612,6891740,0.15,0.06,62.49,8634.650391
2015-03-20,564.362,6430896,0.5,0.166666666667,62.41,8570.900391
2015-03-23,558.362,5078700,0.0,0.0,62.23,8550.900391
2015-03-24,552.862,6736532,0.0,0.0,62.348,8542.950195
2015-03-25,554.775024,6170968,0.0,0.0,62.412,8530.799805
2015-03-26,536.588013,15740840,0.0,0.0,62.836,8342.150391
2015-03-27,550.536987,10074220,0.0,0.0,62.523,8341.400391
2015-03-30,557.0,4623088,0.5,0.166666666667,62.51,8492.299805
2015-03-31,554.588013,8016412,0.5,0.125,62.291,8491.0
2015-04-01,543.487,6738488,0.0,0.0,62.142,8586.25
2015-04-06,544.549988,7741752,0.0,0.0,62.207,8659.900391
2015-04-07,539.875,8542268,0.0,0.0,62.296,8660.299805
2015-04-08,550.138,10185576,0.0,0.0,62.192,8714.400391
2015-04-09,553.75,10581548,0.0,0.0,62.306,8778.299805
2015-04-10,558.487,7123776,0.0,0.0,62.276,8780.349609
2015-04-13,559.700012,4872336,0.0,0.0,62.407,8834.0
2015-04-15,553.424988,6237784,0.0,0.0,62.36,8834.0
2015-04-16,548.661987,9007812,0.0,0.0,62.317,8706.700195
2015-04-17,544.812012,6450316,0.0,0.0,62.55,8606.0
2015-04-20,533.036987,12825384,0.0,0.0,63.137,8448.099609
2015-04-21,535.650024,8881648,0.0,0.0,62.854,8377.75
2015-04-22,534.424988,12350984,0.0,0.0,62.98,8429.700195
2015-04-23,530.5,11891800,0.0,0.0,63.277,8398.299805
2015-04-24,498.799988,43565452,0.0483333333333,-0.0070987654321,63.662,8305.25
2015-04-27,496.162994,19822640,0.0854545454545,0.0467532467532,63.346,8213.799805
2015-04-28,490.225006,10393500,0.0,0.0,63.053,8285.599609
2015-04-29,490.287994,8289056,0.0,0.0,63.46,8239.75
2015-04-30,485.562012,13134260,0.05,0.00833333333333,63.529,8181.5
2015-05-04,498.274994,13361592,0.0,0.0,63.516,8331.950195
2015-05-05,490.687988,9408516,0.0568181818182,0.0284090909091,63.369,8324.799805
2015-05-06,480.513,10508408,0.5,0.166666666667,63.621,8097.0
2015-05-07,486.0,6779984,0.5,0.2,64.073,8057.299805
2015-05-08,489.487,5777676,0.0,0.0,63.711,8191.5
2015-05-11,498.412994,4785512,0.0,0.0,64.007,8325.25
2015-05-12,486.774994,8284892,0.0,0.0,64.147,8126.950195
2015-05-13,489.174988,7099084,0.0,0.0,64.013,8235.450195
2015-05-14,483.700012,6233844,0.225,0.1125,63.383,8224.200195
2015-05-15,490.437988,5189344,0.0,0.0,63.44,8262.349609
2015-05-18,498.263,6469976,0.0,0.0,63.708,8373.650391
2015-05-19,505.587006,10272076,0.0,0.0,63.763,8365.650391
2015-05-20,511.825012,5882188,0.0,0.0,63.598,8423.25
2015-05-21,512.112,10059312,0.75,0.25,63.58,8421.0
2015-05-22,511.612,6888824,0.0,0.0,63.49,8458.950195
2015-05-25,504.200012,4675808,0.0,0.0,63.496,8370.25
2015-05-26,501.825012,3965040,0.0,0.0,63.972,8339.349609
2015-05-27,492.125,8454708,0.0,0.0,63.826,8334.599609
2015-05-28,504.149994,10980540,0.0,0.0,63.763,8319.0
2015-05-29,505.787994,18993044,0.0,0.0,63.743,8433.650391
2015-06-01,511.950012,5724892,0.0,0.0,63.594,8433.400391
2015-06-02,502.162994,4673140,0.214285714286,0.0714285714286,63.689,8236.450195
2015-06-03,505.225006,5495796,0.0,0.0,63.997,8135.100098
2015-06-04,507.013,7489464,0.0,0.0,63.964,8130.649902
2015-06-05,502.912994,6125788,0.0,0.0,63.77,8114.700195
2015-06-08,500.013,6141048,0.0,0.0,63.947,8044.149902
2015-06-09,498.024994,7561740,1.0,0.2,64.01,8022.399902
2015-06-10,506.625,6385840,0.0,0.0,63.766,8124.450195
2015-06-11,499.412994,9229464,0.0,0.0,63.959,7965.350098
2015-06-12,493.763,9852924,0.216666666667,0.0722222222222,64.1,7982.899902
2015-06-15,495.225006,5236426,0.8,0.2,64.085,8013.899902
2015-06-16,499.674988,5223444,0.0,0.0,64.166,8047.299805
2015-06-17,497.850006,6412068,0.0,0.0,64.011,8091.549805
2015-06-18,500.975006,3474426,0.1,0.025,63.577,8174.600098
2015-06-19,497.674988,6670458,0.0,0.0,63.5,8224.950195
2015-06-22,511.924988,5710868,0.0,0.0,63.523,8353.099609
2015-06-23,500.200012,6952116,0.0410714285714,0.0234693877551,63.607,8381.549805
2015-06-24,497.549988,7073694,-0.05,-0.02,63.526,8360.849609
2015-06-25,495.225006,7117466,0.0,0.0,63.518,8398.0
2015-06-26,502.625,5320284,0.0,0.0,63.452,8381.099609
2015-06-29,495.075012,5690668,0.0,0.0,63.707,8318.400391
2015-06-30,492.174988,6212530,0.0,0.0,63.604,8368.5
2015-07-01,498.700012,6880852,0.0,0.0,63.55,8453.049805
2015-07-02,494.0,4007568,-0.3,-0.075,63.299,8444.900391
2015-07-03,495.149994,2695306,0.0,0.0,63.411,8484.900391
2015-07-06,491.649994,4305602,0.0,0.0,63.264,8522.150391
2015-07-07,490.25,3497418,0.0,0.0,63.476,8510.799805
2015-07-08,478.75,7024178,0.0,0.0,63.459,8363.049805
2015-07-09,469.0,8587772,0.0,0.0,63.318,8328.549805
2015-07-10,468.75,7411522,0.0,0.0,63.358,8360.549805
2015-07-13,475.075012,6531768,0.8,0.2,63.45,8459.650391
2015-07-14,485.625,5367074,0.0,0.0,63.281,8454.099609
2015-07-15,492.0,4129566,0.0,0.0,63.507,8523.799805
2015-07-16,494.524994,3472938,0.0,0.0,63.463,8608.049805
2015-07-17,500.924988,3447978,0.0,0.0,63.492,8609.849609
2015-07-20,500.625,4377180,0.0,0.0,63.6,8603.450195
2015-07-21,556.325012,38310112,0.132888888889,0.0434814814815,63.583,8529.450195
2015-07-22,551.575012,12665660,0.109523809524,0.0160714285714,63.571,8633.5
2015-07-23,549.0,7710748,0.625,0.3125,63.921,8589.799805
2015-07-24,543.799988,4480302,0.5,0.1,64.106,8521.549805
2015-07-27,532.650024,6752244,0.0,0.0,64.202,8361.0
2015-07-28,531.424988,8476602,0.0,0.0,63.799,8337.0
2015-07-29,542.700012,7071334,0.0,0.0,63.821,8375.049805
2015-07-30,535.0,11956598,0.0,0.0,64.138,8421.799805
2015-07-31,538.525024,7931012,0.0,0.0,63.988,8532.849609
2015-08-03,539.474976,7961012,0.0,0.0,64.177,8543.049805
