Date,Close,Volume,TB_para,TB_sent,USD_INR,Nifty
2015-01-01,443.950012,1354878,0.0,0.0,63.355,
2015-01-02,442.774994,3351654,0.568181818182,0.189393939394,63.285,8395.450195
2015-01-05,437.924988,4619182,0.0,0.0,63.345,8378.400391
2015-01-06,418.049988,8516086,0.0,0.0,63.575,8127.350098
2015-01-07,427.149994,9472630,0.0,0.0,63.28,8102.100098
2015-01-08,421.024994,9084914,0.0,0.0,62.675,8234.599609
2015-01-09,430.149994,6122732,0.0,0.0,62.355,8284.5
2015-01-12,425.149994,4617432,0.0,0.0,62.075,8323.0
2015-01-13,421.575012,4548216,0.0,0.0,61.98,8299.400391
2015-01-14,417.475006,5202572,0.0,0.0,62.095,8277.549805
2015-01-15,432.125,7738494,0.0,0.0,62.065,8494.150391
2015-01-16,434.850006,8748776,0.0,0.0,61.87,8513.799805
2015-01-19,439.825012,6098582,0.5,0.0833333333333,61.645,8550.700195
2015-01-20,451.524994,6108346,0.0,0.0,61.655,8695.599609
2015-01-21,453.375,7810366,0.0,0.0,61.56,8729.5
2015-01-22,441.875,10844730,0.0,0.0,61.605,8761.400391
2015-01-23,443.450012,8265794,0.0,0.0,61.44,8835.599609
2015-01-27,444.524994,8201508,0.0,0.0,61.41,8910.5
2015-01-28,453.424988,8822454,0.0,0.0,61.358,8914.299805
2015-01-29,464.700012,16511776,0.0,0.0,61.801,8952.349609
2015-01-30,457.625,9941906,0.0,0.0,62.02,8808.900391
2015-02-02,454.024994,8824550,0.0,0.0,61.719,8797.400391
2015-02-03,468.799988,7814040,0.0,0.0,61.596,8756.549805
2015-02-04,464.399994,6433654,-0.125,-0.0416666666667,61.842,8723.700195
2015-02-05,461.850006,5653156,0.0,0.0,61.709,8711.700195
2015-02-06,454.950012,4135456,0.0,0.0,61.97,8661.049805
2015-02-09,448.350006,4041210,0.0,0.0,62.149,8526.349609
2015-02-10,441.0,6240782,0.0,0.0,62.327,8565.549805
2015-02-11,450.350006,4471548,0.0,0.0,62.382,8627.400391
2015-02-12,454.575012,3981748,0.0,0.0,62.15,8711.549805
2015-02-13,458.75,3380142,0.0,0.0,62.076,8805.5
2015-02-16,451.399994,5607922,0.0,0.0,62.105,8809.349609
2015-02-18,450.825012,4496248,0.0,0.0,62.057,8869.099609
2015-02-19,451.024994,4366230,0.0,0.0,62.138,8895.299805
2015-02-20,436.549988,8556874,0.25,0.1,62.109,8833.599609
2015-02-23,425.725006,6448086,0.0,0.0,62.163,8754.950195
2015-02-24,420.725006,9118740,0.0,0.0,62.17,8762.099609
2015-02-25,421.575012,6982812,0.0,0.0,61.862,8767.25
2015-02-26,421.0,9810676,0.0,0.0,61.731,8683.849609
2015-02-27,427.774994,8530440,0.0,0.0,61.659,8844.599609
2015-03-02,432.125,6665262,0.0,0.0,61.862,8956.75
2015-03-03,450.399994,9434508,0.0,0.0,61.819,8996.25
2015-03-04,443.924988,6617962,0.0,0.0,62.309,8922.650391
2015-03-05,442.475006,4899316,0.0,0.0,62.381,8937.75
2015-03-09,434.825012,6430224,0.0,0.0,62.634,8756.75
2015-03-10,429.575012,6964500,0.0,0.0,62.72,8712.049805
2015-03-11,427.975006,5319530,0.0,0.0,62.781,8699.950195
2015-03-12,431.899994,5386508,0.0,0.0,62.542,8776.0
