Date,Close,Open,High,Low,Change %
2019-04-17,69.495,69.895,69.895,69.482,-0.57%
2019-04-16,69.895,69.82,69.895,69.396,0.72%
2019-04-15,69.395,69.174,69.483,69.045,0.32%
2019-04-14,69.171,69.171,69.171,69.171,-0.03%
2019-04-12,69.19,69.03,69.39,69.03,0.25%
2019-04-11,69.02,69.164,69.222,68.837,-0.19%
2019-04-10,69.15,69.258,69.366,69.09,-0.19%
2019-04-09,69.28,69.538,69.74,69.248,-0.40%
2019-04-08,69.555,69.335,69.72,69.335,0.56%
2019-04-07,69.17,69.231,69.231,69.17,0.00%
2019-04-05,69.17,68.992,69.338,68.986,0.28%
2019-04-04,68.98,68.54,69.22,68.52,0.77%
2019-04-03,68.45,68.73,68.835,68.39,-0.68%
2019-04-02,68.92,69.28,69.39,68.72,-0.41%
2019-04-01,69.205,69.356,69.424,69.185,-0.34%
2019-03-31,69.44,69.44,69.44,69.44,0.37%
2019-03-29,69.185,69.178,69.32,69.042,-0.01%
2019-03-28,69.19,69.124,69.38,68.95,0.13%
2019-03-27,69.1,69.039,69.187,68.78,0.15%
2019-03-26,68.996,68.931,69.017,68.778,0.15%
2019-03-25,68.89,69.159,69.176,68.795,-0.41%
2019-03-24,69.171,69.171,69.171,69.171,0.00%
2019-03-22,69.17,68.65,69.17,68.54,0.52%
2019-03-21,68.81,68.565,68.81,68.51,0.03%
2019-03-20,68.79,69.027,69.176,68.731,-0.33%
2019-03-19,69.015,68.619,69.067,68.35,0.57%
2019-03-18,68.625,68.959,68.959,68.431,-0.49%
2019-03-17,68.963,68.963,68.963,68.963,0.00%
2019-03-15,68.963,69.357,69.372,68.935,-0.58%
2019-03-14,69.365,69.525,69.755,69.255,-0.24%
2019-03-13,69.529,69.607,69.794,69.419,-0.14%
2019-03-12,69.625,69.821,69.821,69.491,-0.32%
2019-03-11,69.85,70.028,70.041,69.808,-0.21%
2019-03-10,69.997,70.011,70.011,69.997,-0.02%
2019-03-08,70.011,70.111,70.246,69.826,-0.15%
2019-03-07,70.116,70.151,70.152,69.95,0.05%
2019-03-06,70.08,70.479,70.692,70.022,-0.58%
2019-03-05,70.49,70.963,70.975,70.448,-0.59%
2019-03-04,70.91,70.815,70.923,70.8,-0.13%
2019-03-03,71,71,71,71,0.00%
2019-03-01,71,70.811,71,70.715,0.23%
2019-02-28,70.84,71.231,71.271,70.713,-0.51%
2019-02-27,71.2,71.01,71.491,70.929,0.34%
2019-02-26,70.96,70.829,71.346,70.809,0.18%
2019-02-25,70.835,71.034,71.103,70.826,-0.29%
2019-02-24,71.041,71.035,71.041,71.035,0.01%
2019-02-22,71.035,71.195,71.265,71.035,-0.18%
2019-02-21,71.165,71.061,71.28,70.925,0.22%
2019-02-20,71.01,71.32,71.344,70.933,-0.41%
2019-02-19,71.3,71.351,71.602,71.251,-0.12%
2019-02-18,71.386,71.335,71.537,71.326,0.08%
2019-02-17,71.33,71.33,71.33,71.33,0.00%
2019-02-15,71.33,71.028,71.464,71.028,0.44%
2019-02-14,71.02,70.869,71.233,70.8,0.20%
2019-02-13,70.875,70.541,70.88,70.397,0.48%
2019-02-12,70.535,71.254,71.254,70.515,-0.85%
2019-02-11,71.14,71.24,71.301,71.038,-0.03%
2019-02-10,71.16,71.175,71.175,71.16,-0.02%
2019-02-08,71.175,71.395,71.434,71.015,-0.18%
2019-02-07,71.3,71.639,71.769,71.271,-0.35%
