Date,Close,Volume,TB_para,TB_sent,USD_INR,Nifty
2015-01-01,1001.969971,674298,0.0,0.0,63.355,
2015-01-02,1023.099976,1936584,0.0,0.0,63.285,8395.450195
2015-01-05,1037.329956,2176527,0.366666666667,0.16,63.345,8378.400391
2015-01-06,1002.72998,3048026,0.0,0.0,63.575,8127.350098
2015-01-07,1000.330017,2063636,0.0,0.0,63.28,8102.100098
2015-01-08,1006.700012,1455954,0.0,0.0,62.675,8234.599609
2015-01-09,1000.169983,1735730,0.0,0.0,62.355,8284.5
2015-01-12,1022.799988,1535320,0.0,0.0,62.075,8323.0
2015-01-13,1013.0,1318348,0.0,0.0,61.98,8299.400391
2015-01-14,1012.0,1476891,0.0,0.0,62.095,8277.549805
2015-01-15,1049.130005,3419091,0.0,0.0,62.065,8494.150391
2015-01-16,1061.170044,4195028,0.0,0.0,61.87,8513.799805
2015-01-19,1076.569946,2087948,0.0,0.0,61.645,8550.700195
2015-01-20,1086.369995,2088778,0.0,0.0,61.655,8695.599609
2015-01-21,1103.030029,3705237,0.0,0.0,61.56,8729.5
2015-01-22,1108.869995,1811174,0.0,0.0,61.605,8761.400391
2015-01-23,1140.869995,4374212,0.227272727273,0.0757575757576,61.44,8835.599609
2015-01-27,1161.329956,3390609,0.5,0.125,61.41,8910.5
2015-01-28,1132.22998,3463524,0.0,0.0,61.358,8914.299805
2015-01-29,1149.27002,3460012,-0.05,-0.0166666666667,61.801,8952.349609
2015-01-30,1133.699951,2282494,0.0,0.0,62.02,8808.900391
2015-02-02,1156.72998,2125707,0.227272727273,0.0757575757576,61.719,8797.400391
2015-02-03,1148.329956,2930722,0.0,0.0,61.596,8756.549805
2015-02-04,1125.599976,1846012,0.0,0.0,61.842,8723.700195
2015-02-05,1121.599976,2015948,0.0,0.0,61.709,8711.700195
2015-02-06,1122.369995,2210620,0.0,0.0,61.97,8661.049805
2015-02-09,1048.300049,5339823,0.1,0.0428571428571,62.149,8526.349609
2015-02-10,1047.800049,10472048,0.2,0.0666666666667,62.327,8565.549805
2015-02-11,1075.130005,4675647,0.0,0.0,62.382,8627.400391
2015-02-12,1100.030029,3162284,-0.1,-0.025,62.15,8711.549805
2015-02-13,1108.099976,2363568,0.0,0.0,62.076,8805.5
2015-02-16,1098.969971,1676532,0.0,0.0,62.105,8809.349609
2015-02-18,1108.900024,2187792,-0.05,-0.0166666666667,62.057,8869.099609
2015-02-19,1132.369995,2808872,0.0,0.0,62.138,8895.299805
2015-02-20,1118.400024,5372566,0.0,0.0,62.109,8833.599609
2015-02-23,1124.670044,3558914,0.0,0.0,62.163,8754.950195
2015-02-24,1147.400024,3186507,0.0,0.0,62.17,8762.099609
2015-02-25,1131.930054,2760176,0.513636363636,0.256818181818,61.862,8767.25
2015-02-26,1118.699951,2867676,0.5,0.125,61.731,8683.849609
2015-02-27,1172.630005,6404554,0.3,0.06,61.659,8844.599609
2015-03-02,1230.72998,7276994,0.0,0.0,61.862,8956.75
2015-03-03,1234.430054,3566704,0.0,0.0,61.819,8996.25
2015-03-04,1225.27002,4956996,0.0,0.0,62.309,8922.650391
2015-03-05,1217.369995,2831550,0.0,0.0,62.381,8937.75
2015-03-09,1174.869995,2366516,0.5,0.125,62.634,8756.75
2015-03-10,1168.300049,2668430,0.0,0.0,62.72,8712.049805
2015-03-11,1159.800049,2817524,0.0,0.0,62.781,8699.950195
2015-03-12,1164.930054,2488366,0.0,0.0,62.542,8776.0
2015-03-13,1128.099976,3480124,0.0,0.0,63.083,8647.75
2015-03-16,1119.869995,1994878,0.482142857143,0.160714285714,62.78,8633.150391
2015-03-17,1143.77002,2178092,-0.05,-0.0166666666667,62.623,8723.299805
2015-03-18,1132.699951,1931079,0.0,0.0,62.701,8685.900391
2015-03-19,1121.599976,3146062,0.0,0.0,62.49,8634.650391
2015-03-20,1113.569946,2528511,0.0,0.0,62.41,8570.900391
2015-03-23,1115.22998,1682382,0.0,0.0,62.23,8550.900391
2015-03-24,1114.77002,2093748,0.0,0.0,62.348,8542.950195
2015-03-25,1088.5,2524262,0.0,0.0,62.412,8530.799805
2015-03-26,1089.630005,5232288,0.0,0.0,62.836,8342.150391
2015-03-27,1118.5,4774842,0.275,0.16,62.523,8341.400391
2015-03-30,1152.5,3359008,0.5,0.166666666667,62.51,8492.299805
2015-03-31,1146.430054,2813583,0.35,0.1375,62.291,8491.0
2015-04-01,1156.170044,1500330,0.3,0.06,62.142,8586.25
2015-04-06,1171.930054,2732079,0.3,0.075,62.207,8659.900391
2015-04-07,1179.800049,2142483,0.0,0.0,62.296,8660.299805
2015-04-08,1186.300049,2066943,0.0,0.0,62.192,8714.400391
2015-04-09,1180.530029,1702880,0.0,0.0,62.306,8778.299805
2015-04-10,1176.0,1415592,0.227272727273,0.0757575757576,62.276,8780.349609
2015-04-13,1202.329956,2358314,0.5,0.166666666667,62.407,8834.0
2015-04-15,1191.77002,2280494,-0.05,-0.0125,62.36,8834.0
2015-04-16,1169.530029,2251882,0.0,0.0,62.317,8706.700195
2015-04-17,1159.829956,1497998,0.0,0.0,62.55,8606.0
2015-04-20,1132.300049,2375331,0.0,0.0,63.137,8448.099609
2015-04-21,1125.829956,2067291,0.0,0.0,62.854,8377.75
2015-04-22,1163.72998,2776149,0.0,0.0,62.98,8429.700195
2015-04-23,1149.400024,2547232,0.0,0.0,63.277,8398.299805
2015-04-24,1119.069946,2187252,0.0,0.0,63.662,8305.25
2015-04-27,1111.800049,2775021,0.0,0.0,63.346,8213.799805
